,playerId,name,Rk,WS,Season,Age,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
29,1630567.0,Scottie Barnes,81.0,5.0,2022-23,21.0,TOR,77.0,76.0,2678.0,463.0,1016.0,400.0,792.0,63.0,224.0,190.0,246.0,179.0,333.0,512.0,371.0,83.0,61.0,154.0,170.0,1179.0,0.456,0.505,0.281,0.772,0.524,0.487,G-F
30,1629628.0,RJ Barrett,217.0,2.2,2022-23,22.0,NYK,73.0,73.0,2475.0,510.0,1176.0,389.0,786.0,121.0,390.0,290.0,392.0,60.0,308.0,368.0,201.0,31.0,15.0,164.0,179.0,1431.0,0.434,0.495,0.31,0.74,0.531,0.485,G-F
31,203115.0,Will Barton,382.0,0.4,2022-23,32.0,"TOR,WAS",56.0,2.0,993.0,138.0,364.0,72.0,184.0,66.0,180.0,37.0,47.0,15.0,122.0,137.0,112.0,28.0,13.0,48.0,56.0,379.0,0.379,0.391,0.367,0.787,0.493,0.47,G
32,1629646.0,Charles Bassey,290.0,1.3,2022-23,22.0,SAS,35.0,2.0,508.0,87.0,135.0,84.0,127.0,3.0,8.0,22.0,37.0,75.0,118.0,193.0,47.0,16.0,33.0,41.0,74.0,199.0,0.644,0.661,0.375,0.595,0.658,0.656,C
33,1628966.0,Keita Bates-Diop,177.0,2.7,2022-23,27.0,SAS,67.0,42.0,1452.0,236.0,465.0,180.0,323.0,56.0,142.0,119.0,150.0,65.0,183.0,248.0,103.0,46.0,20.0,56.0,63.0,647.0,0.508,0.557,0.394,0.793,0.609,0.568,F
34,201587.0,Nicolas Batum,132.0,3.6,2022-23,34.0,LAC,78.0,19.0,1709.0,160.0,381.0,36.0,64.0,124.0,317.0,34.0,48.0,62.0,237.0,299.0,121.0,54.0,44.0,50.0,149.0,478.0,0.42,0.563,0.391,0.708,0.594,0.583,F-G
35,1629647.0,Darius Bazley,316.0,1.0,2022-23,22.0,"OKC,PHO",43.0,1.0,616.0,83.0,183.0,63.0,130.0,20.0,53.0,38.0,70.0,34.0,104.0,138.0,38.0,22.0,34.0,27.0,44.0,224.0,0.454,0.485,0.377,0.543,0.524,0.508,F
36,203078.0,Bradley Beal,144.0,3.4,2022-23,29.0,WAS,50.0,50.0,1673.0,444.0,878.0,364.0,659.0,80.0,219.0,192.0,228.0,41.0,155.0,196.0,271.0,45.0,33.0,145.0,107.0,1160.0,0.506,0.552,0.365,0.842,0.593,0.551,G
37,1627736.0,Malik Beasley,278.0,1.4,2022-23,26.0,"LAL,UTA",81.0,27.0,2093.0,370.0,937.0,135.0,279.0,235.0,658.0,50.0,65.0,35.0,248.0,283.0,124.0,65.0,9.0,90.0,107.0,1025.0,0.395,0.484,0.357,0.769,0.531,0.52,G
38,1630699.0,MarJon Beauchamp,389.0,0.4,2022-23,22.0,MIL,52.0,11.0,701.0,96.0,243.0,49.0,101.0,47.0,142.0,27.0,37.0,38.0,77.0,115.0,35.0,21.0,7.0,45.0,71.0,266.0,0.395,0.485,0.331,0.73,0.513,0.492,G
39,202722.0,Davis Bertans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,201976.0,Patrick Beverley,159.0,3.0,2022-23,34.0,"CHI,LAL",67.0,67.0,1816.0,144.0,360.0,64.0,121.0,80.0,239.0,47.0,65.0,44.0,203.0,247.0,194.0,63.0,41.0,60.0,187.0,415.0,0.4,0.529,0.335,0.723,0.534,0.511,G
41,1630180.0,Saddiq Bey,122.0,3.9,2022-23,23.0,"ATL,DET",77.0,37.0,2129.0,353.0,836.0,202.0,418.0,151.0,418.0,205.0,238.0,98.0,264.0,362.0,118.0,70.0,13.0,71.0,123.0,1062.0,0.422,0.483,0.361,0.861,0.564,0.513,F
42,203920.0,Khem Birch,412.0,0.2,2022-23,30.0,TOR,20.0,0.0,162.0,19.0,32.0,18.0,30.0,1.0,2.0,4.0,5.0,8.0,17.0,25.0,7.0,5.0,5.0,8.0,24.0,43.0,0.594,0.6,0.5,0.8,0.629,0.609,C-F
43,1629048.0,Goga Bitadze,282.0,1.3,2022-23,23.0,"IND,ORL",38.0,1.0,457.0,69.0,125.0,63.0,99.0,6.0,26.0,23.0,42.0,61.0,76.0,137.0,39.0,16.0,26.0,22.0,64.0,167.0,0.552,0.636,0.231,0.548,0.582,0.576,C
44,202687.0,Bismack Biyombo,244.0,1.9,2022-23,30.0,PHO,61.0,14.0,874.0,119.0,206.0,119.0,206.0,0.0,0.0,25.0,70.0,89.0,171.0,260.0,56.0,18.0,88.0,51.0,114.0,263.0,0.578,0.578,,0.357,0.555,0.578,C-F
45,1631205.0,Buddy Boeheim,527.0,-0.2,2022-23,23.0,DET,10.0,0.0,90.0,5.0,27.0,1.0,2.0,4.0,25.0,2.0,2.0,2.0,4.0,6.0,4.0,2.0,0.0,0.0,6.0,16.0,0.185,0.5,0.16,1.0,0.287,0.259,G
46,203992.0,Bogdan Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,202711.0,Bojan Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1629626.0,Bol Bol,210.0,2.3,2022-23,23.0,ORL,70.0,33.0,1505.0,261.0,478.0,231.0,365.0,30.0,113.0,82.0,108.0,69.0,336.0,405.0,69.0,30.0,85.0,112.0,92.0,634.0,0.546,0.633,0.265,0.759,0.603,0.577,F-C
49,1630195.0,Leandro Bolmaro,532.0,-0.3,2022-23,22.0,UTA,14.0,0.0,68.0,3.0,20.0,3.0,16.0,0.0,4.0,0.0,0.0,4.0,3.0,7.0,7.0,3.0,1.0,7.0,10.0,6.0,0.15,0.188,0.0,,0.15,0.15,F
50,1626164.0,Devin Booker,57.0,6.0,2022-23,26.0,PHO,53.0,53.0,1835.0,527.0,1067.0,416.0,751.0,111.0,316.0,306.0,358.0,46.0,194.0,240.0,293.0,51.0,18.0,145.0,159.0,1471.0,0.494,0.554,0.351,0.855,0.601,0.546,G
51,1630527.0,Brandon Boston Jr.,420.0,0.2,2022-23,21.0,LAC,22.0,1.0,248.0,51.0,122.0,39.0,93.0,12.0,29.0,29.0,38.0,7.0,23.0,30.0,20.0,9.0,0.0,12.0,21.0,143.0,0.418,0.419,0.414,0.763,0.515,0.467,G-F
52,1628449.0,Chris Boucher,82.0,5.0,2022-23,30.0,TOR,76.0,0.0,1523.0,261.0,529.0,199.0,340.0,62.0,189.0,128.0,168.0,157.0,264.0,421.0,29.0,47.0,64.0,41.0,143.0,712.0,0.493,0.585,0.328,0.762,0.59,0.552,F
